,ID_Produkta,Ime_Produkta,Število_Ocen,Opis,Razpoložljivost,Partner,Cena
49,28596940,"Liebherr FNc 7076 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 311,6 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred C in je opremljena s šestimi predali.",7.9.,Mimovrste,1.499 €
50,10520939,Liebherr IFNe 3503 vgradna zamrzovalna omara s sistemom NoFrost,N/A,"Vgradna zamrzovalna omara Liebherr IFNe 3503 s prostornino 65 litrov, sodi v E energijski razred. S tehnologijo SuperSilent, je vgradna zamrzovalna izredno tiha (34dB). Ponaša se s sistemom SuperFrost.",11.9.,Mimovrste,"899,19 €"
51,10538516,Liebherr SIFNAe 5188 vgradna zamrzovalna omara s sistemom NoFrost,N/A,"Vgradna zamrzovalna omara Liebherr SIFNAe 5188 s prostornino 237 liter, sodi v E energijski razred. S tehnologijo SuperSilent, je vgradna zamrzovalna izredno tiha, skoraj neslišna (35 dB). Ponaša se s sistemom NoFrost in SuperFrost.",11.9.,Mimovrste,3.349 €
52,28597672,"Liebherr FNd 4625 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 199 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred D in je opremljena s petimi predali.",7.9.,Mimovrste,879 €
53,28599746,"Liebherr FNd 7026 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 311 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred D in je opremljena s šestimi predali.",7.9.,Mimovrste,1.049 €
54,9940940,Liebherr FNd 4655 samostojna zamrzovalna omara NoFrost,1x,"Samostojna zamrzovalna omara Liebherr FNd 4655 spada v energijski razred D. Ponaša se s sistemom, ki ščiti zamrzovalni prostor pred neželeno zaledenitvijo NoFrost. Skupna prostornina znaša 199 litrov.",7.9.,Mimovrste,1.099 €
55,10485407,Liebherr IFNc 3553 vgradna zamrzovalna omara s sistemom NoFrost,N/A,"Vgradna zamrzovalna omara Liebherr IFNc 3553 s prostornino 65 litrov, sodi v C energijski razred. S tehnologijo SuperSilent, je vgradna zamrzovalna izredno tiha, skoraj neslišna. Ponaša se s sistemom NoFrost.",11.9.,Mimovrste,999 €
56,10395393,Liebherr SFNbsd 529i samostojna zamrzovalna omara s sistemom NoFrost,N/A,"Samostojna zamrzovalna omara Liebherr SFNbsd 529i spada v energijski razred D. Lahko se pohvali z možnostjo zamrzovalne zmogljivosti, vse do 18 kg v obdobju 24 ur. Ponaša se s sistemom, ki ščiti zamrzovalni prostor pred neželeno zaledenitvijo NoFrost. Skupna prostornina znaša 277 litrov.",7.9.,Mimovrste,2.249 €
57,931954,Indesit OS 1A 200 H zamrzovalna skrinja,N/A,Indesit zamrzovalna skrinja OS 1A 200 H ima 204 litre prostornine in se uvršča v energijski razred F.,4.9.,Mimovrste,341 €
58,28507905,"Liebherr FNc 6625 zamrzovalna omara, NoFrost",N/A,"Liebherr zamrzovalna omara s prostornino 260 l se ponaša z NoFrost delovanjem, ki preprečuje nabiranje ledu in zmrzali v notranjosti. Spada v energijski razred C in je opremljena s petimi predali.",7.9.,Mimovrste,1.149 €
59,10393882,Liebherr SFNsdd 5267 zamrzovalna omara s sistemom NoFrost,N/A,"Samostojna zamrzovalna omara Liebherr SFNsdd 5267 spada v energijski razred D. Ponaša se s sistemom, ki ščiti zamrzovalni prostor pred neželeno zaledenitvijo NoFrost. Skupna prostornina znaša 277 litrov.",7.9.,Mimovrste,1.599 €
60,2751118,"LORD F4 zamrzovalna omara, 84,5 x 54,5 cm, 81 l",3x,"Prostostoječa zamrzovalna omara LORD F4 se uvršča v energijski razred C. Ponaša se z uporabno prostornino 87 litrov in zmogljivostjo zamrzovanja do 4,4 kg/24 h.",N/A,Mimovrste,"341,39 €"
